ticker,name,sector,mcap_cr,pe,roe,roce,sg5,pg5,growth,quality,peg,score,fin
MARUTI,Maruti Suzuki India Limited,Automobile and Auto Components,436076.0,30.4,14.3,18.9,27.0,15.0,21.25,16.6,1.4305882352941175,55.7,False
UNITDSPR,United Spirits Limited,Fast Moving Consumer Goods,111485.0,60.2,21.4,26.4,35.0,18.0,22.75,23.9,2.646153846153846,55.0,False
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,Capital Goods,11210.0,49.1,8.09,11.7,34.0,55.0,28.25,9.895,1.7380530973451327,54.9,False
NEWGEN,Newgen Software Technologies Limited,Information Technology,7639.0,22.3,19.6,25.0,21.0,13.0,15.75,22.3,1.415873015873016,54.9,False
BAJFINANCE,Bajaj Finance Limited,Financial Services,676139.0,33.0,18.2,10.9,34.0,12.0,20.25,18.2,1.6296296296296295,54.5,True
BRITANNIA,Britannia Industries Limited,Fast Moving Consumer Goods,134071.0,51.4,53.5,56.0,6.0,9.0,7.75,54.75,6.632258064516129,54.3,False
MANYAVAR,Vedant Fashions Limited,Consumer Services,12792.0,31.8,26.7,30.7,18.0,,14.666666666666666,28.7,2.1681818181818184,54.0,False
ICICIBANK,ICICI Bank Limited,Financial Services,1015604.0,18.1,15.9,7.18,24.0,15.0,17.5,15.9,1.0342857142857145,53.6,True
PRESTIGE,Prestige Estates Projects Limited,Realty,68712.0,60.4,7.53,10.4,21.0,37.0,29.75,8.965,2.030252100840336,53.4,False
AUBANK,AU Small Finance Bank Limited,Financial Services,81068.0,238.0,22.3,12.4,,11.0,25.333333333333332,22.3,9.394736842105264,52.7,True
CDSL,Central Depository Services (India) Limited,Financial Services,28042.0,59.5,24.5,32.0,18.0,17.0,21.25,24.5,2.8,52.6,True
SIEMENS,Siemens Limited,Capital Goods,139850.0,93.0,19.2,21.4,30.0,25.0,25.75,20.299999999999997,3.6116504854368934,51.2,False
JBMA,JBM Auto Limited,Automobile and Auto Components,14722.0,63.9,15.6,14.8,35.0,46.0,25.5,15.2,2.5058823529411764,50.8,False
TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,185125.0,83.0,27.4,15.2,12.0,27.0,24.25,21.299999999999997,3.422680412371134,50.4,False
ALKEM,Alkem Laboratories Limited,Healthcare,63933.0,26.3,18.9,21.2,9.0,8.0,15.5,20.049999999999997,1.696774193548387,50.1,False
KPITTECH,KPIT Technologies Limited,Information Technology,16812.0,26.9,20.9,26.3,37.0,13.0,13.25,23.6,2.030188679245283,48.3,False
ELGIEQUIP,Elgi Equipments Limited,Capital Goods,19308.0,41.7,19.0,22.1,31.0,23.0,17.75,20.55,2.3492957746478873,48.1,False
NAUKRI,Info Edge (India) Limited,Consumer Services,86888.0,58.9,1.81,3.45,39.0,5.0,30.0,2.63,1.9633333333333334,47.9,False
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,461128.0,36.5,16.0,20.5,17.0,20.0,17.25,18.25,2.1159420289855073,47.0,False
ANGELONE,Angel One Limited,Financial Services,26182.0,25.4,15.6,14.8,25.0,19.0,15.75,15.6,1.6126984126984125,46.6,True
NTPC,NTPC Limited,Power,329687.0,13.9,13.8,8.43,8.0,24.0,14.75,11.115,0.9423728813559322,46.3,False
ERIS,Eris Lifesciences Limited,Healthcare,18833.0,28.7,18.7,14.1,12.0,13.0,15.75,16.4,1.8222222222222222,45.7,False
RAINBOW,Rainbow Childrens Medicare Limited,Healthcare,14833.0,51.8,15.9,17.4,44.0,,20.0,16.65,2.59,44.9,False
FIVESTAR,Five-Star Business Finance Limited,Financial Services,16182.0,103.0,16.0,17.0,,,24.0,16.0,4.291666666666667,44.8,True
ENDURANCE,Endurance Technologies Limited,Automobile and Auto Components,40711.0,41.3,14.9,17.8,12.0,12.0,18.0,16.35,2.2944444444444443,44.6,False
TATAPOWER,Tata Power Company Limited,Power,122414.0,31.2,10.2,10.5,27.0,24.0,18.75,10.35,1.664,44.5,False
TCS,Tata Consultancy Services Limited,Information Technology,853507.0,15.9,51.8,63.0,9.0,-7.0,-0.5,57.4,,44.4,False
COROMANDEL,Coromandel International Limited,Chemicals,61804.0,31.7,17.3,24.6,9.0,20.0,13.5,20.950000000000003,2.348148148148148,43.4,False
DLF,DLF Limited,Realty,164262.0,38.2,9.5,6.32,29.0,15.0,20.75,7.91,1.840963855421687,43.1,False
LAURUSLABS,Laurus Labs Limited,Healthcare,96311.0,88.1,18.3,17.8,-2.0,21.0,20.75,18.05,4.2457831325301205,43.0,False
BDL,Bharat Dynamics Limited,Capital Goods,51280.0,98.5,10.2,13.8,10.0,49.0,25.25,12.0,3.900990099009901,42.3,False
NUVOCO,Nuvoco Vistas Corporation Limited,Construction Materials,11824.0,28.4,4.17,6.99,101.0,,19.0,5.58,1.4947368421052631,41.4,False
NCC,NCC Limited,Construction,8834.0,12.2,9.19,16.8,22.0,12.0,9.5,12.995000000000001,1.2842105263157895,39.1,False
NAVINFLUOR,Navin Fluorine International Limited,Chemicals,42290.0,74.0,15.3,20.8,14.0,17.0,17.5,18.05,4.228571428571429,39.0,False
LT,Larsen & Toubro Limited,Construction,557886.0,31.7,15.9,14.6,3.0,20.0,13.75,15.25,2.305454545454545,38.3,False
DIVISLAB,Divi's Laboratories Limited,Healthcare,224772.0,75.5,16.5,22.0,6.0,11.0,15.5,19.25,4.870967741935484,37.8,False
METROBRAND,Metro Brands Limited,Consumer Services,25781.0,65.2,22.0,20.0,41.0,,13.666666666666666,21.0,4.770731707317074,37.4,False
ITC,ITC Limited,Fast Moving Consumer Goods,347693.0,17.6,29.3,38.9,10.0,7.0,1.75,34.1,10.057142857142859,36.2,False
PAYTM,One 97 Communications Limited,Financial Services,103036.0,127.0,4.7,5.01,20.0,,26.0,4.7,4.884615384615385,35.9,True
HINDUNILVR,Hindustan Unilever Limited,Fast Moving Consumer Goods,486600.0,44.1,31.0,28.4,13.0,-2.0,5.0,29.7,8.82,35.7,False
ETERNAL,ETERNAL LIMITED,Consumer Services,308522.0,713.0,0.38,2.48,17.0,18.0,28.5,1.43,25.017543859649123,35.6,False
HDFCBANK,HDFC Bank Limited,Financial Services,1120802.0,14.2,13.6,7.02,19.0,-1.0,8.25,13.6,1.7212121212121212,34.7,True
HCLTECH,HCL Technologies Limited,Information Technology,369832.0,20.4,23.8,30.4,9.0,4.0,6.0,27.1,3.4,34.3,False
